epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9039,1.83921,2.10569,1.96472,0.86986,0.85401,0.8934,0.3728,1.66946,1.78263,2.12922,0.000661765,0.000661765,0.000661765
2,30.1729,1.47439,1.58207,1.611,0.83213,0.83221,0.8969,0.57184,1.4449,1.66806,2.06148,0.00131199,0.00131199,0.00131199
3,44.9872,1.40953,1.35821,1.52384,0.95763,0.98976,0.97919,0.69543,1.09624,0.93688,1.46848,0.00194572,0.00194572,0.00194572
4,60.9873,1.30998,1.16635,1.4246,1,0.98407,0.99486,0.77405,1.0565,0.85061,1.32653,0.00192575,0.00192575,0.00192575
5,73.9862,1.28699,1.10715,1.41691,0.99897,1,0.995,0.78834,1.06906,0.71735,1.34457,0.001901,0.001901,0.001901
6,85.723,1.21158,1.0589,1.4009,1,0.99081,0.995,0.7724,0.93617,0.59452,1.2621,0.00187625,0.00187625,0.00187625
7,97.38,1.12547,0.93916,1.32786,0.99275,0.9999,0.99493,0.66353,1.19977,0.77664,1.53853,0.0018515,0.0018515,0.0018515
8,109.43,1.10487,0.89035,1.32618,0.99247,0.9927,0.99464,0.68759,1.14489,0.82316,1.55849,0.00182675,0.00182675,0.00182675
9,121.501,1.08621,0.88395,1.29909,0.9807,0.9927,0.99344,0.84123,0.76946,0.68006,1.20926,0.001802,0.001802,0.001802
10,134.174,1.02457,0.80935,1.27691,0.98231,0.9781,0.98729,0.84988,0.71873,0.66247,1.1394,0.00177725,0.00177725,0.00177725
11,146.479,1.00888,0.78772,1.24989,0.99785,0.9854,0.99345,0.88028,0.57828,0.53553,1.02564,0.0017525,0.0017525,0.0017525
12,158.155,0.9509,0.75424,1.22667,0.99926,1,0.995,0.90215,0.60067,0.52451,1.03823,0.00172775,0.00172775,0.00172775
13,169.866,0.97162,0.74586,1.2489,0.9975,1,0.995,0.88306,0.63229,0.51635,1.05868,0.001703,0.001703,0.001703
14,181.688,0.98046,0.72963,1.24579,0.98956,1,0.995,0.81751,0.826,0.56024,1.22018,0.00167825,0.00167825,0.00167825
15,193.366,0.93256,0.71446,1.2293,0.99984,0.9927,0.995,0.83355,0.74746,0.46034,1.1265,0.0016535,0.0016535,0.0016535
16,206.418,0.89857,0.67794,1.21982,0.99945,1,0.995,0.88434,0.62339,0.42039,1.03698,0.00162875,0.00162875,0.00162875
17,219.386,0.89634,0.69351,1.21563,0.99469,1,0.995,0.78479,0.77813,0.4458,1.14256,0.001604,0.001604,0.001604
18,233.402,0.86648,0.65162,1.17111,0.99893,1,0.995,0.88823,0.6094,0.46856,1.04879,0.00157925,0.00157925,0.00157925
19,246.19,0.8176,0.6342,1.15596,0.99953,1,0.995,0.93908,0.50044,0.37933,0.94344,0.0015545,0.0015545,0.0015545
20,257.82,0.8188,0.60737,1.1584,0.99945,1,0.995,0.91762,0.49273,0.35815,0.96472,0.00152975,0.00152975,0.00152975
21,272.374,0.84823,0.60458,1.1818,0.99934,1,0.995,0.9158,0.49582,0.37995,0.96582,0.001505,0.001505,0.001505
